#               step               time           E_Zeeman            E_total                m_x                m_y                m_z            m_error            skx_num 
#                 <>                <s>                <J>                <J>                 <>                 <>                 <>                 <>                 <> 
                 194           1.94e-10     -93725.3273387     -93725.3273387    -0.334257302944   -0.0991380704586     0.937253273387   2.9676927582e-11                  0 
                 195           1.95e-10     -93831.8973664     -93831.8973664    -0.329707741001    -0.104164817683     0.938318973664  2.85904633301e-11                  0 
                 196           1.96e-10     -93936.7140422     -93936.7140422    -0.325105272296    -0.109068499008     0.939367140422  2.75914846526e-11                  0 
                 197           1.97e-10     -94039.8043026     -94039.8043026    -0.320452635747    -0.113849150059     0.940398043026  2.66608957133e-11                  0 
                 198           1.98e-10      -94141.194735      -94141.194735    -0.315752545026    -0.118506859499      0.94141194735  2.57944776649e-11                  0 
                 199           1.99e-10     -94240.9115798     -94240.9115798    -0.311007687755     -0.12304176798     0.942409115798    2.498512508e-11                  0 
                 200              2e-10     -94338.9807329     -94338.9807329    -0.306220724735    -0.127454067096     0.943389807329   2.4219071193e-11                  0 
                 201           2.01e-10     -94435.4277478     -94435.4277478    -0.301394289198    -0.131743998325     0.944354277478  2.34821051492e-11                  0 
                 202           2.02e-10     -94530.2778385     -94530.2778385    -0.296530986096    -0.135911851976     0.945302778385  2.28006502567e-11                  0 
                 203           2.03e-10     -94623.5558819     -94623.5558819    -0.291633391415    -0.139957966132     0.946235558819  2.22233342839e-11                  0 
                 204           2.04e-10     -94715.2864201     -94715.2864201    -0.286704051518    -0.143882725589     0.947152864201  2.16853202062e-11                  0 
                 205           2.05e-10     -94805.4936636     -94805.4936636    -0.281745482523    -0.147686560797     0.948054936636    2.118016873e-11                  0 
                 206           2.06e-10     -94894.2014938     -94894.2014938      -0.2767601697    -0.151369946802     0.948942014938  2.07025507848e-11                  0 
                 207           2.07e-10     -94981.4334654     -94981.4334654    -0.271750566907    -0.154933402182     0.949814334654  2.02464711663e-11                  0 
                 208           2.08e-10     -95067.2128098     -95067.2128098    -0.266719096041    -0.158377487995     0.950672128098  1.98066008039e-11                  0 
                 209           2.09e-10     -95151.5624375     -95151.5624375     -0.26166814653    -0.161702806717     0.951515624375  1.93776106272e-11                  0 
                 210            2.1e-10     -95234.5049412     -95234.5049412    -0.256600074837     -0.16491000119     0.952345049412  1.89530613426e-11                  0 
                 211           2.11e-10     -95316.0625984     -95316.0625984    -0.251517204008    -0.167999753569     0.953160625984  1.85274018349e-11                  0 
                 212           2.12e-10     -95396.2573748     -95396.2573748    -0.246421823226    -0.170972784271     0.953962573748  1.81050729964e-11                  0 
                 213           2.13e-10      -95475.110927      -95475.110927    -0.241316187411    -0.173829850935      0.95475110927  1.77580172789e-11                  0 
                 214           2.14e-10     -95552.6446054     -95552.6446054    -0.236202516828    -0.176571747372     0.955526446054  1.74249503715e-11                  0 
                 215           2.15e-10     -95628.8794573     -95628.8794573    -0.231082996731    -0.179199302536     0.956288794573  1.71038738728e-11                  0 
                 216           2.16e-10     -95703.8362301     -95703.8362301    -0.225959777026    -0.181713379486     0.957038362301  1.67921232475e-11                  0 
